Listing,Listing ID,External name,Location
KS Small,271429,Old Town 1 Bedroom Oasis with AC and Double Shower,"Praha 1, Czechia"
Husitská 59,271430,"Great Terrace in Big, Central Flat","Prague, Czechia"
Pernerova,271432,Central designer studio by beautiful park & church,"Praha 8, Czechia"
Křižíkova 1,271433,"Charming, modern, 1-bed flat by Museum of Prague","Praha 8, Czechia"
Korunní 2,271434,Stylish one bed apartment by Namesti Miru,"Hlavní město Praha, Czechia"
Karlova,271435,Newly renovated 1-bed apartment at Charles Bridge,"Hlavní město Praha, Czechia"
Krakovská,271436,"Bright, Spacious Apartment in the Historic Centre","Prague, Czechia"
Křižíkova 2,271438,"Elegant, modern, 2-bed flat by Museum of Prague","Prague, Czechia"
Heřmanova,271439,"Stylish, unique 2 bedroom flat w/balcony in Letna","Praha 7, Czechia"
Vlkova,271441,"Cozy, retro-styled flat in beautiful Zizkov","Praha 3, Czechia"
Moskevská 3,271442,New petite studio in bohemian suburb,"Praha 10, Czechia"
KS Big,271443,"Huge 3-Bed Duplex w Sauna, Jacuzzi, Terrace & AC","Praha 1, Czechia"
Řehořova,271444,"Central, Spacious, Modern 5 Bedrm duplex w/Balcony","Praha 3, Czechia"
Moskevská 2,271445,Modern studio with excellent transport links,"Praha 10, Czechia"
Konviktská 3,271446,Cozy Old Town Stay - 1-bedroom apartment,"Praha 1, Czechia"
Mikulov,271447,3 bed modern family house in Mikulov,"Mikulov, Czechia"
Ž104,271448,Smart studio in Žižkov near tram (104),"Praha 3, Czechia"
Konviktská 17,271449,Classic Old town stay,"Praha 1, Czechia"
Perucká,271450,Charming apartment for two in uptown,"Hlavní město Praha, Czechia"
Ž204,271451,Comfy studio in Žižkov near tram (204),"Praha 3, Czechia"
Moskevská 1,271452,Cozy studio in Prague´s favorite neighborhood,"Praha 10, Czechia"
Ž201,271453,Flat by Zizkov (201),"Praha 3, Czechia"
Ž202,271455,Flat in Zizkov (202),"Praha 3, Czechia"
Ž102,271456,Flat in Zizkov (102),"Praha 3, Czechia"
Ž203,271457,8 bed flat with great location (203),"Praha 3, Czechia"
Ž604,271458,Sunny studio with terrace by tram (604),"Praha 3, Czechia"
Ž301,271459,Apartment in Zizkov (301),"Praha 3, Czechia"
Ž302,271460,Apartment in Zizkov (302),"Praha 3, Czechia"
Ž601,271462,Bright 2 bed with big terrace by tram,"Praha 3, Czechia"
Ž103,271463,Flat in Zizkov (103),"Praha 3, Czechia"
Ž401,271464,Apartment in Zizkov (401),"Praha 3, Czechia"
Ž402,271465,8 bed apartment in Zizkov (402),"Praha 3, Czechia"
Ž303,271466,Flat in Zizkov (303),"Praha 3, Czechia"
Ž501,271467,Apartment in Zizkov with *Free Underground Parking * (501),"Praha 3, Czechia"
Ž101,271468,Flat in Zizkov (101),"Praha 3, Czechia"
Ž502,271469,Apartment in Zizkov (502),"Praha 3, Czechia"
Ž504,271470,"Modern studio with balcony, TV","Praha 3, Czechia"
Ž503,271471,Flat in Zizkov (503),"Praha 3, Czechia"
Ž004,271472,Fun bright studio with flat screen TV,"Prague, Czechia"
Ž304,271473,"Modern, bright studio in a great location",
Ž403,271474,8 bed flat in great location,"Praha 3, Czechia"
Korunní 1,271475,"Spacious, Light Studio Apartment in Vinohrady","Praha 2, Czechia"
Ž404,271476,Modern studio with balcony + TV,"Praha 3, Czechia"
Moskevská 4,271477,Cozy and simple well located studio,"Praha 10, Czechia"
MŠ Small,271478,Prague Panorama Loft,"Praha 2, Czechia"
Bořivojova 73,271479,Skyline Nest on Borivojova,"Praha 3, Czechia"
Ž001,271480,Chic+Contemporary Zizkov Studio,"Praha 3, Czechia"
Schnirchova,271481,Cozy apartment in hipster area,"Praha 7, Czechia"
MŠ Big,271482,Prague Urban Oasis Loft,"Praha 2, Czechia"
Vinohradská,271485,Museum Quarter Elegance Suite,"Praha 2, Czechia"
MN 30 - 5.,271487,Central Riverside Duplex loft,"Praha, Czechia"
U Průhonu,271494,Spacious studio with free parking,"Praha 7, Czechia"
Sevastopolská 2,271495,Small studio in hipster neighborhood,"Praha 10, Czechia"
Krásova,272166,Cozy and sunny apartment in uptown,"Praha 3, Czechia"
Ž602,273351,Prokopova 602,"Praha 3, Czechia"
Bořivojova 50,273353,"Big 4-bedroom flat, terrace with great Vítkov view","Prague 3, Czechia"
MN 30 - 2.,325023,Riverside Gem w/ Balcony View,"Praha 1, Czechia"
Chlumova 7,360453,Chlumova 7,"Praha 3, Czechia"
Betlémské,366442,Betlemske,
Šumavská,372348,Elegant & Spacious 4BR Loft in Charming Vinohrady,
Husitská 63,391114,Bright and airy apartment in unique suburb,"Praha 3, Czechia"
Sobechleby 1,399884,The Old Bakery @ Sobechleby,"Blšany, Czechia"
Betlémské 2,407955,Betlemske 2,Czechia
