Listing,Listing ID,External name
KS Small,271429,Old Town 1 Bedroom Oasis with AC and Double Shower
Husitská 59,271430,"Great Terrace in Big, Central Flat"
Pernerova,271432,Central designer studio by beautiful park & church
Křižíkova 1,271433,"Charming, modern, 1-bed flat by Museum of Prague"
Heřmanova,271439,"Stylish, unique 2 bedroom flat w/balcony in Letna"
Sevastopolská 2,271495,Small studio in hipster neighborhood
U Průhonu,271494,Spacious studio with free parking
Korunní 1,271475,"Spacious, Light Studio Apartment in Vinohrady"
Korunní 2,271434,Stylish one bed apartment by Namesti Miru
MŠ Small,271478,Prague Panorama Loft
MŠ Big,271482,Prague Urban Oasis Loft
MN 30 - 2.,325023,Riverside Gem w/ Balcony View
Bořivojova 73,271479,Skyline Nest on Borivojova
Vinohradská,271485,Museum Quarter Elegance Suite
Moskevská 3,271442,New petite studio in bohemian suburb
Karlova,271435,Newly renovated 1-bed apartment at Charles Bridge
Křižíkova 2,271438,"Elegant, modern, 2-bed flat by Museum of Prague"
KS Big,271443,"Huge 3-Bed Duplex w Sauna, Jacuzzi, Terrace & AC"
Moskevská 2,271445,Modern studio with excellent transport links
Konviktská 3,271446,Cozy Old Town Stay - 1-bedroom apartment
Moskevská 1,271452,Cozy studio in Prague’s favorite neighborhood
Vlkova,271441,"Cozy, retro-styled flat in beautiful Zizkov"
Šumavská,372348,Elegant & Spacious 4BR Loft in Charming Vinohrady
Konviktská 17,271449,Classic Old town stay
Moskevská 4,271477,Cozy and simple well located studio
Krásova,272166,Cozy and sunny apartment in uptown
Schnirchova,271481,Cozy apartment in hipster area
Řehořova,271444,"Central, Spacious, Modern 5 Bedrm duplex w/Balcony"
Perucká,271450,Charming apartment for two in uptown
Chlumova 7,360453,Chlumova 7
Husitská 63,391114,Bright and airy apartment in unique suburb
Krakovská,271436,"Bright, Spacious Apartment in the Historic Centre"
MN 30 - 5.,271487,Central Riverside Duplex loft
