Listing,Listing ID,External name
Ž301,271459,Apartment in Zizkov (301)
Ž302,271460,Apartment in Zizkov (302)
Ž601,271462,Bright 2 bed with big terrace by tram
Ž103,271463,Flat in Zizkov (103)
Ž401,271464,Apartment in Zizkov (401)
Ž402,271465,8 bed apartment in Zizkov (402)
Ž303,271466,Flat in Zizkov (303)
Ž501,271467,Apartment in Zizkov with *Free Underground Parking * (501)
Ž101,271468,Flat in Zizkov (101)
Ž502,271469,Apartment in Zizkov (502)
Ž504,271470,"Modern studio with balcony, TV"
Ž503,271471,Flat in Zizkov (503)
Ž004,271472,Fun bright studio with flat screen TV
Ž304,271473,"Modern, bright studio in a great location"
Ž403,271474,8 bed flat in great location
Ž404,271476,Modern studio with balcony + TV
Ž001,271480,Chic+Contemporary Zizkov Studio
Ž602,273351,Prokopova 602
Ž104,271448,Smart studio in Žizkov near tram (104)
Ž204,271451,Comfy studio in Žizkov near tram (204)
Ž201,271453,Flat by Zizkov (201)
Ž202,271455,Flat in Zizkov (202)
Ž102,271456,Flat in Zizkov (102)
Ž203,271457,8 bed flat with great location (203)
Ž604,271458,Sunny studio with terrace by tram (604)
